"","team_api_id","sum_goal","team_long_name","build_up_play","chance_creation","defense_work"
"1",1601,280,"Ruch Chorzów",133,176,136
"2",1773,126,"Oud-Heverlee Leuven",153,157,137
"3",1957,287,"Jagiellonia Bialystok",158,152,162
"4",2033,138,"S.C. Olhanense",147,134,105
"5",2182,372,"Lech Poznan",147,196,153
"6",2183,184,"P. Warszawa",NA,131,139
"7",2186,235,"Cracovia",125,165,157
"8",4049,35,"Tubize",NA,NA,NA
"9",4064,27,"Feirense",NA,NA,NA
"10",4087,180,"Évian Thonon Gaillard FC",149,164,140
"11",4170,31,"US Boulogne Cote D'Opale",NA,154,155
"12",6269,34,"Novara",179,168,138
"13",6351,28,"KAS Eupen",NA,160,155
"14",6367,27,"Uniao da Madeira",NA,NA,NA
"15",6391,37,"GFC Ajaccio",153,163,141
"16",6403,292,"FC Paços de Ferreira",142,169,139
"17",6413,204,"PEC Zwolle",136,165,181
"18",6421,55,"Leixões SC",NA,165,90
"19",6433,74,"Go Ahead Eagles",160,131,141
"20",6493,128,"AC Bellinzona",NA,148,138
"21",6547,29,"FC Penafiel",147,146,121
"22",6601,38,"FC Volendam",NA,NA,NA
"23",6631,24,"FC Dordrecht",134,176,164
"24",7730,99,"FC Lausanne-Sports",141,164,145
"25",7788,119,"SC Cambuur",136,134,138
"26",7794,165,"SC Bastia",174,156,147
"27",7819,220,"SM Caen",157,155,136
"28",7841,248,"Rio Ave FC",157,177,153
"29",7842,167,"Estoril Praia",167,139,150
"30",7844,300,"Vitória Guimarães",131,173,141
"31",7869,22,"Córdoba CF",141,171,129
"32",7878,179,"Granada CF",166,175,155
"33",7896,46,"Lugano",NA,NA,NA
"34",7943,141,"Sassuolo",182,169,138
"35",7947,44,"FCV Dender EH",NA,NA,NA
"36",7955,171,"Neuchâtel Xamax",NA,121,116
"37",7992,25,"Trofense",NA,NA,NA
"38",8019,61,"Górnik Leczna",140,139,149
"39",8020,245,"Polonia Bytom",NA,122,162
"40",8021,207,"Zaglebie Lubin",133,149,148
"41",8023,152,"Pogon Szczecin",119,144,158
"42",8024,122,"Widzew Lódz",190,184,139
"43",8025,318,"Slask Wroclaw",140,157,139
"44",8027,75,"Zawisza Bydgoszcz",145,147,143
"45",8028,204,"Piast Gliwice",183,169,129
"46",8030,279,"Lechia Gdansk",162,183,149
"47",8031,88,"Polonia Bytom",NA,122,162
"48",8033,169,"Podbeskidzie Bielsko-Biala",189,166,102
"49",8066,345,"Inverness Caledonian Thistle",127,174,139
